,Start,End
0,2025-02-18 10:05:26.677687,2025-02-18 10:05:28.280154
1,2025-02-18 10:05:28.376460,2025-02-18 10:05:28.412699
2,2025-02-18 10:05:40.086671,2025-02-18 10:05:41.684732
3,2025-02-18 10:05:41.956426,2025-02-18 10:05:42.005457
4,2025-02-18 10:05:44.376407,2025-02-18 10:05:45.605096
5,2025-02-18 10:05:45.701742,2025-02-18 10:05:45.926813
6,2025-02-18 10:05:45.975993,2025-02-18 10:05:46.055051
7,2025-02-18 10:05:46.150224,2025-02-18 10:05:46.247084
8,2025-02-18 10:05:46.470778,2025-02-18 10:05:46.613319
9,2025-02-18 10:05:47.284817,2025-02-18 10:05:47.574918
10,2025-02-18 10:05:50.437666,2025-02-18 10:05:50.759597
